Mater.,prototype,category,dAB,xA,IEA,XA,rcovA,IEB,rcovB
KF,NaCl,nonmetal,2.69,0.5,4.34,0.82,2.03,17.42,0.57
TlBr,NaCl,nonmetal,3.29,0.5,6.108,1.62,1.45,11.81,1.2
CoO,NaCl,nonmetal,2.131,0.5,7.88,1.88,1.26,13.61,0.66
FeO,NaCl,nonmetal,2.151,0.5,7.902,1.83,1.32,13.61,0.66
GdN,NaCl,nonmetal,2.495,0.5,6.15,1.2,1.96,14.53,0.71
EuS,NaCl,nonmetal,2.99,0.5,5.67,1.18,1.98,10.36,1.05
EuSe,NaCl,nonmetal,3.098,0.5,5.67,1.18,1.98,9.752,1.2
MnO,NaCl,nonmetal,2.22,0.5,7.434,1.55,1.39,13.61,0.66
MnSe,NaCl,nonmetal,2.72,0.5,7.434,1.55,1.39,9.752,1.2
YP,NaCl,nonmetal,2.831,0.5,6.218,1.22,1.9,10.48,1.07
